Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
Essential supplies focal person by Gewog,August 11,Essential Supplies,https://www.facebook.com/haadzongkhag/posts/2669465969931499,Haa Dzongkhag Facebook page,,,,,
Focals for Essential services (Central Region),August 14,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3385966034798322/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,,Phuntsho
Focals for Essential services (Central Region) - DZO,August 14,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382905825104343/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,Also include in Category: Dzongkha,Phuntsho
Medical Response and Surveillance Desk,August 11,General Health Services,https://www.facebook.com/bbsnews/posts/3783871701627305,BBS; Shared by Haa Dzongkhag Facebook page also,,,,,
Contact details of Dzongdags,August 11,local leaders,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,✓ ,,
Details of Focal Officers in Dzongkhags,August 11,local leaders,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,✓ ,Source: Ministry of Economic Affairs,Phuntsho 
Dzongkhag Website,,Dzongkhag Webpage,http://www.haa.gov.bt/node/1,,,,,,
Dzongkhag Facebook page,,Dzongkhag Webpage,https://www.facebook.com/haadzongkhag/,,,,,,
Toll-free number for medical and Covid-19 enquiries,August 11,Toll-Free Numbers,https://www.facebook.com/haadzongkhag/posts/2669663269911769,Haa Dzongkhag Facebook page,,,,,
Dzongkhag Task Force,August 11,Task Force,https://www.facebook.com/bbsnews/posts/3783871701627305,BBS; Shared by Haa Dzongkhag Facebook page also,,,,,