Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,Added to Master List by,
Paro's Essential Contact Details,11-Aug,Essential Supplies,https://www.facebook.com/PMOBhutan/posts/3146492875463394,Image,Paro,,,Phuntsho,
Food and essentials delivery vehicles ,no dates,Essential Supplies,http://www.paro.gov.bt/announcements/lockdown-list-vehicles-identified-gewog-supply-essential-itemsvegetables,Paro Dzongkhag website,,,,,
[Updated] Essentials service providers,18-Aug,Essential Supplies,https://www.facebook.com/ParoAdministration/photos/a.685363831540060/3209118385831246/,Paro Dzongkhag Facebook page,,,,,
Bank services,17-Aug,Financial Services,http://www.paro.gov.bt/announcements/lockdown-avail-bank-services-bob-pnb-tbank-and-bnb,Paro Dzongkhag website,,,,,
Focals for Essential services (Central Region),14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3385966034798322/?type=3&theater,Image,Posted 14th Aug 2020,Regional,,,Phuntsho
Focals for Essential services (Central Region) - DZO,14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382905825104343/?type=3&theater,Image,Posted 14th Aug 2020,Regional,,Also include in Category: Dzongkha,Phuntsho
Hospital teleconsultation services,15-Aug,General Health Services,https://www.facebook.com/ParoAdministration/photos/a.685363831540060/3200299320046486/,Paro Dzongkhag Facebook page,,,,,
Volunteer taxi service for emergency hospital visits,19-Aug,General Health Services,https://www.facebook.com/ParoAdministration/photos/a.685363831540060/3211358035607281/,Paro Dzongkhag Facebook page,,,,,
Outreach clinic: Routine immunization and family planning ,20-Aug,General Health Services,https://www.facebook.com/ParoAdministration/posts/3214238488652569,Paro Dzongkhag Facebook page,,,,,
"Health notice: flu clinic, chronic illness medicine delivery, teleconsultation numbers",20-Aug,General Health Services,https://www.facebook.com/ParoAdministration/posts/3214693691940382,Paro Dzongkhag Facebook page,,,,,
[Updated] Local government leaders by gewog,20-Aug,Contact Details,https://www.facebook.com/ParoAdministration/posts/3214150648661353,Paro Dzongkhag Facebook page,,,,,
Contact details of Dzongdags,11-Aug,Contact Details,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,,,
Details of Focal Officers in Dzongkhags,11-Aug,Contact Details,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,,Source: Ministry of Economic Affairs,Phuntsho 
Dzongkhag Website,no dates,Dzongkhag Webpage,http://www.paro.gov.bt/node/700,,,,,,
Dzongkhag Facebook page,no dates,Dzongkhag Webpage,https://www.facebook.com/ParoAdministration/,,,,,,